GENE	logFC	adj.P.Val
PRMT7	-1.337427135	9.47E-29
PRNP	-1.391569557	3.00E-08
PROS1	1.658928223	4.09E-11
PRPF19	-1.707953158	5.95E-35
PRPF31	-1.01110742	7.52E-18
PRPF4	-1.33160703	1.21E-18
PRPF8	-1.479445449	1.42E-30
PRPS1	-1.653954591	1.04E-30
PRR5L	-1.636080742	2.09E-25
PRRC1	-1.259565068	1.02E-12
PRSS23	-2.026499423	9.66E-26
PRSS33	-1.028576012	1.74E-16
PRUNE2	1.694913969	4.00E-08
PSIP1	-1.604778475	1.56E-14
PSMA6	1.959164194	1.63E-22
PSMB9	-1.334580909	1.35E-11
PSMC6	1.353785422	8.06E-09
PSME1	-1.087546079	7.41E-17
PSME2	-1.528016939	4.92E-14
PSMG2	-1.090775023	2.22E-20
PSTPIP2	1.654479887	2.23E-17
PTBP1	-1.120192148	1.61E-24
PTCD3	-1.280987132	2.86E-27
PTCH1	-1.227644328	6.28E-32
PTDSS1	-1.103477838	7.16E-15
PTER	-1.640626445	2.10E-27
PTGDR	-1.032330774	1.68E-24
PTGDS	-2.119119476	1.19E-19
PTGER4	-2.463478457	1.83E-17
PTGS1	1.506320766	9.62E-09
PTPLAD1	-1.618044094	1.83E-18
PTPLB	-1.505038859	1.00E-16
PTPN4	-1.589216907	1.37E-15
PTPRCAP	-2.21336313	5.01E-20
PTX3	1.125598632	4.16E-06
PUF60	-1.262356645	3.39E-27
PUM1	-1.167217489	1.08E-16
PURA	-1.982410675	3.14E-26
PWP1	-1.540601664	3.11E-24
PWP2	-1.298609472	1.64E-28
PWWP2A	-1.123693206	5.30E-10
PXK	1.032744147	2.18E-12
PYCR2	-1.050639593	6.53E-18
PYGL	1.086336885	2.46E-14
PYHIN1	-2.303446439	2.69E-33
QARS	-1.30340726	5.99E-18
QDPR	-1.176352578	7.13E-26
QRICH1	-1.051271571	1.60E-38
QRSL1	-1.284828982	5.87E-26
QSER1	-1.53253768	1.07E-22
QSOX1	1.48131635	1.21E-27
R3HDM1	-1.375617933	6.32E-22
R3HDM2	-1.091803565	1.44E-25
RAB10	1.116771437	5.33E-27
RAB11FIP1	-1.19526726	1.40E-11
RAB11FIP4	-1.827149535	1.10E-17
RAB13	2.046071876	5.15E-26
RAB18	1.051953031	6.39E-09
RAB20	1.592522246	1.52E-11
RAB22A	-1.197211242	3.22E-23
RAB2B	1.347713716	1.09E-07
RAB31	1.088968911	9.33E-21
RAB32	1.759130092	1.69E-32
RABGEF1	1.689552279	6.25E-18
RABL2A	-1.634574584	8.05E-42
RABL2B	-1.694371594	1.27E-42
RAD50	-1.241573635	3.67E-22
RALGAPA1	-1.389200452	3.39E-21
RALGAPA2	1.153043522	1.78E-17
RANGAP1	-1.005329628	1.71E-12
RANGRF	-1.535245198	6.07E-23
RAP1GAP	2.210331949	1.70E-08
RARRES3	-2.747680327	4.12E-17
RASA3	-1.93844647	1.12E-28
RASGRP1	-3.287710707	2.10E-30
RASSF1	-1.757700505	3.46E-23
RASSF4	-1.299778944	2.61E-10
RBBP4	-1.195740457	1.91E-14
RBBP7	-1.62659057	1.14E-25
RBL2	-1.200614589	4.15E-16
RBM12	-1.117925096	2.98E-18
RBM14	-1.279570872	9.57E-28
RBM15B	-1.12917615	8.80E-24
RBM16	-1.084080256	1.00E-23
RBM25	-1.219825573	1.60E-17
RBM26	-1.338344209	2.74E-25
RBM34	-1.163622309	1.80E-14
RBM38	1.269782577	3.57E-08
RBM43	-1.025641607	4.16E-12
RBMX	-1.127092232	3.51E-26
RBX1	1.914404115	3.40E-25
RCAN3	-1.112703012	3.24E-26
RCBTB2	-1.368730463	1.30E-10
RCC2	-1.504150627	1.33E-22
RCSD1	-1.141027101	1.62E-19
RDH13	-1.319879603	4.81E-28
RELL1	-1.146254935	5.34E-08
REPS1	-1.717684591	9.35E-31
RERE	-1.341802376	3.21E-14
RETN	4.68520283	6.87E-30
REV3L	-1.334883418	2.23E-15
RFTN1	-2.789831354	9.76E-39
RFX5	-2.357521691	1.26E-33
RGL4	3.390625015	2.31E-32
RGS18	1.474495306	3.27E-10
RHAG	1.37973782	6.89E-12
RHOF	-1.700962326	4.93E-26
RHOH	-1.581780887	5.82E-15
RHOU	1.374308765	3.65E-07
RIOK1	-1.130067065	7.18E-21
RIOK3	1.296652869	1.03E-09
RIT1	1.544294795	4.43E-28
RNASE1	1.01158057	1.36E-05
RNASE2	3.046096237	3.21E-30
RNASE3	2.430666482	1.28E-12
RNASE6	-1.218232514	1.33E-06
RNASEH2B	-1.712652892	3.91E-19
RNASEN	-1.548657325	8.36E-33
RNF10	1.082151048	7.43E-14
RNF11	1.65175872	3.31E-11
RNF114	-1.527469096	9.58E-19
RNF125	-2.644612903	1.78E-44
RNF144A	-1.281874564	1.62E-19
RNF144B	1.066471504	4.87E-10
RNF157	-1.252568055	4.24E-18
RNF182	1.591646346	9.61E-06
RNF187	1.009524929	7.24E-07
RNF44	-1.213855569	5.00E-16
RNMT	-1.176061987	3.82E-31
RNPS1	-1.095156791	2.90E-29
ROGDI	1.127113591	9.17E-13
ROMO1	1.010066583	1.85E-11
ROPN1L	1.846207457	7.34E-21
RORA	-2.540162942	7.41E-24
RPA1	-1.434616025	9.61E-24
RPAIN	-1.150824855	7.88E-18
RPL10A	-1.550232285	1.32E-22
RPL14	-1.387514863	9.85E-27
RPL18	-1.38509126	2.62E-22
RPL18A	-1.071987256	4.91E-19
RPL19	-1.031077543	1.36E-22
RPL22	-1.30529858	8.80E-19
RPL3	-1.283317702	3.23E-17
RPL5	-1.202049487	3.56E-15
RPL7A	-1.087412638	1.55E-18
RPLP2	-1.018026834	4.30E-24
RPS16	-1.141559604	1.26E-18
RPS19	-1.201905392	6.53E-18
RPS25	-1.018222128	1.01E-15
RPS26	-1.266244209	2.36E-09
RPS27L	1.41420924	6.83E-08
RPS4X	-1.475304252	9.23E-23
RPS5	-1.103706012	9.21E-14
RPS6KA4	-1.060353589	2.16E-16
RPS6KA5	-3.214653596	7.73E-28
RPS7	1.10059351	4.43E-06
RPUSD4	-1.058767685	1.95E-22
RQCD1	-1.055560523	7.25E-16
RRAGD	1.03901378	8.44E-13
RRAS2	-1.529295114	3.53E-19
RRM1	-1.029389187	1.34E-08
RRP1B	-2.685904278	1.61E-35
RRS1	-1.637433901	7.74E-32
RSAD1	-1.813279428	8.08E-37
RSL1D1	-1.161796596	3.80E-17
RSL24D1	1.745432249	3.76E-09
RTN1	-1.624070837	2.59E-18
RUFY3	-1.778636137	7.25E-24
RUNX2	-1.965942491	1.68E-17
RUNX3	-2.491305848	3.08E-30
RUVBL1	-1.16991545	6.99E-25
S100A12	3.573117214	6.12E-56
S100A8	1.978593127	0.00
S100P	2.276016812	1.82E-22
S1PR1	-1.724447845	1.18E-07
S1PR5	-2.731951973	3.16E-30
SAMD3	-2.533813326	2.91E-35
SAMHD1	-1.544048196	4.37E-13
SAMSN1	3.382061869	3.64E-30
SAP30	1.626173392	2.79E-12
SAR1B	1.983839745	8.39E-15
SART3	-1.388091264	6.20E-34
SATB1	-1.099183988	2.27E-22
SBDS	-1.230801116	1.70E-13
SBK1	-2.153574727	2.81E-40
SCAMP3	-1.290858708	1.13E-19
SCRIB	-1.084919653	4.58E-18
SCRN1	-1.499054806	2.08E-27
SDAD1	-1.80658821	2.70E-33
SDR39U1	-1.260139098	1.73E-21
SEC31A	-1.278023991	5.62E-23
SEC62	1.052452381	1.28E-22
SEH1L	-1.070133811	1.24E-30
SELENBP1	1.33059404	0.00
SELM	-1.171161986	2.14E-28
SELP	1.711906651	8.63E-12
SEMA4A	1.150320487	1.28E-11
SEMA4D	-1.031620635	1.68E-14
Septin 1	-1.864619743	6.16E-38
Septin 11	-1.155475225	2.00E-13
Septin 6	-2.286267353	1.00E-27
Septin 9	-2.080939481	8.68E-38
SERPINB1	1.972100927	5.02E-35
SERPINB2	1.41000437	1.32E-09
SERPINB9	-1.309987783	6.78E-10
SESN3	2.097529218	1.12E-09
SET	-1.19220957	6.46E-23
SETX	-1.0939099	7.43E-15
SF3A1	-1.033041768	1.68E-17
SF3A3	-1.400919986	3.61E-26
SF3B14	1.114314132	8.53E-15
SFPQ	-1.236714081	1.71E-17
SFRS13A	-1.157820324	3.88E-16
SFRS14	-1.142330701	1.32E-19
SFRS15	-1.178929693	9.04E-28
SFRS5	-1.397498817	1.90E-28
SFRS6	-1.16643522	1.84E-17
SFRS7	-1.33888401	1.03E-17
SFRS8	-1.003308949	6.46E-19
SFT2D2	1.003582013	2.78E-07
SFXN1	1.372531222	9.04E-09
SGK1	-3.032222704	2.54E-25
SGK223	-1.685815063	4.80E-40
SGMS2	1.508463265	8.59E-11
SGPP1	-1.080114984	9.78E-10
SH2B3	-1.748818163	1.49E-25
SH2D1A	-1.727174099	5.18E-30
SH2D1B	-1.823191569	1.72E-27
SH2D2A	-2.231838187	4.85E-24
SH3BGRL2	1.214617488	3.11E-06
SH3BP1	-1.226699405	4.18E-19
SH3GLB1	1.519482141	9.00E-24
SH3YL1	-2.994602567	1.50E-35
SIAE	1.056172474	1.21E-08
SIAH2	1.971453683	1.49E-15
SIDT1	-2.143078612	7.04E-40
SIGLEC5	1.270333775	1.85E-12
SIGLEC9	1.166402527	5.05E-11
SIGLECP3	-1.078905623	1.33E-27
SIK2	-1.056258497	1.00E-22
SIPA1L1	-1.060908262	5.04E-07
SIPA1L2	1.77443617	2.60E-19
SIRPG	-2.198611095	4.01E-37
SIT1	-1.773435755	8.38E-24
SKAP1	-3.007636695	2.26E-33
SKI	-1.052800847	5.05E-13
SLAMF1	-1.305762858	2.40E-27
SLAMF6	-1.619375414	2.67E-20
SLAMF7	-1.80663457	1.52E-07
SLBP	-1.257996786	6.34E-15
SLC12A7	-1.1056668	3.73E-11
SLC14A1	1.904291569	4.36E-08
SLC20A1	-1.408677507	1.16E-22
SLC22A15	1.241250255	9.50E-12
SLC22A4	1.7739803	1.61E-33
SLC25A32	-1.096788542	1.86E-17
SLC25A36	-1.328719072	2.57E-17
SLC25A37	1.180213137	4.39E-22
SLC25A40	1.359576732	2.05E-06
SLC25A6	-1.347691383	6.83E-20
SLC26A6	1.226218194	6.01E-13
SLC26A8	1.461110056	1.87E-18
SLC2A1	1.2976598	2.66E-09
SLC2A6	-1.5643772	2.20E-11
SLC35D1	-1.037740854	6.03E-10
SLC35E2	-1.089312589	9.90E-20
SLC36A1	1.268949016	1.15E-17
SLC36A4	1.235600969	1.44E-10
SLC37A2	-1.184922817	3.88E-16
SLC37A3	1.626785234	2.43E-12
SLC38A1	-2.525056955	4.47E-26
SLC39A10	-1.339630448	2.19E-16
SLC39A6	-1.090457714	1.43E-10
SLC39A8	1.234000373	1.94E-05
SLC40A1	1.15734539	8.20E-10
SLC4A1	1.238242909	0.00
SLC4A7	-1.156927091	6.04E-16
SLC5A3	-1.017736357	2.22E-07
SLC6A8	1.137286321	8.65E-05
SLC7A5	1.026536066	1.97E-09
SLC7A6	-1.628582322	3.65E-37
SLC7A7	-1.017685815	8.02E-06
SLCO4C1	1.350127066	9.71E-08
SLFN5	-2.554534741	1.08E-25
SLPI	2.059186178	9.06E-12
SMAD3	-2.359664043	1.58E-37
SMARCA4	-1.337245285	4.68E-21
SMARCC1	-1.29177237	8.05E-19
SMARCC2	-1.324252388	2.58E-25
SMARCE1	-1.381793505	3.91E-21
SMC1A	-1.109967359	1.39E-14
SMCHD1	-1.030829251	3.24E-06
SMOX	1.557463357	1.23E-10
SMPDL3A	2.062112319	2.46E-09
SMYD2	-1.309629707	2.68E-18
SMYD4	-1.287143369	2.32E-34
SNHG12	-1.465001197	9.68E-19
SNRK	-1.029657684	1.06E-07
SNRNP200	-1.398433154	7.56E-28
SNRNP70	-1.132707981	1.30E-19
SNRPA1	-1.297679942	1.26E-20
SNRPN	-1.164537927	5.90E-18
SNX3	1.407428679	2.99E-30
SNX30	-1.093516153	2.31E-11
SNX5	-1.358629933	1.79E-20
SOCS3	3.030448941	8.59E-21
SORD	-1.016881929	7.57E-10
SORT1	2.234584766	4.35E-22
SOS1	-1.047988764	1.14E-13
SP140	-1.38379922	3.47E-09
SP140L	-1.158136104	6.02E-17
SP4	-1.041138115	3.29E-14
SPARC	1.109240411	3.87E-05
SPEN	-1.234560322	1.34E-13
SPG7	-1.211050871	3.33E-21
SPIN1	-1.008198186	9.38E-09
SPN	-2.114986464	1.69E-29
SPOCK2	-3.246930262	1.44E-34
SPON2	-3.62446413	2.40E-20
SPTA1	1.058501882	9.71E-11
SPTB	1.980650181	1.64E-10
SPTBN1	-1.377783274	5.56E-13
SPTLC2	1.128517833	5.99E-12
SRM	-1.50326464	2.21E-16
SRP68	-1.332782523	8.49E-25
SRPK1	1.614450281	1.08E-23
SRPK2	-1.233212936	5.57E-11
SRPRB	-1.78741272	1.24E-23
SRRD	1.117052601	4.49E-05
SRRM1	-1.58624297	6.05E-38
SRRM2	-1.419355614	5.81E-17
SSBP1	-1.014864083	1.15E-11
SSBP2	-1.81161064	1.20E-35
SSBP3	-1.126646288	3.51E-07
SSRP1	-1.403596798	3.45E-25
ST3GAL5	-1.566155599	1.43E-27
ST6GAL1	-2.295893309	4.49E-30
ST6GALNAC3	2.423965814	1.43E-20
STAG3L2	-1.336889768	3.47E-18
STAG3L3	-1.291024649	2.28E-19
STAT1	-1.206821389	9.35E-08
STAT2	-1.256283261	1.18E-08
STAT4	-2.478542194	7.00E-26
STIM2	-1.359428813	1.90E-18
STK16	1.358903115	2.83E-23
STK39	-1.594184316	8.44E-31
STMN3	-2.714254779	5.69E-43
STOM	2.70724079	1.83E-32
STRBP	-1.343930381	7.06E-20
STT3A	-1.072182875	1.38E-11
STX17	-1.181488273	9.80E-14
STXBP2	1.321545245	6.95E-14
STYX	-1.092194361	2.18E-09
SUB1	1.466072223	2.13E-10
SUCLG2	-1.314558752	4.55E-24
SUCNR1	1.103171682	3.17E-07
SULF2	-3.113726134	4.00E-18
SULT1B1	2.532286239	1.76E-28
SUMF2	-1.277568915	9.26E-23
SUN1	-2.143282644	2.90E-31
SUN2	-1.076551142	1.16E-17
SUPT16H	-1.309168678	1.84E-26
SUPV3L1	-1.055362266	1.79E-25
SVIP	1.707619044	1.54E-16
SWAP70	-1.145453038	1.37E-10
SYNCRIP	-1.600946186	5.04E-25
SYNE2	-1.996603067	6.78E-21
SYNRG	-1.107989397	1.71E-25
SYTL2	-1.585227728	6.68E-29
TAF1	-1.004464085	2.08E-14
TAF15	-1.690324064	7.93E-30
TAF3	-1.340020043	4.88E-28
TAF4	-1.522582466	9.45E-27
TAGAP	-2.53997278	6.04E-25
TAL1	1.169706643	5.42E-09
TAP2	-1.779736443	2.70E-11
TAPBPL	-1.490794297	2.30E-15
TARSL2	-1.064591572	1.42E-27
TATDN2	-1.001906796	5.09E-13
TBC1D10A	-1.087668817	1.41E-21
TBC1D10C	-1.000255742	8.12E-12
TBC1D4	-2.132089504	4.26E-42
TBC1D8	1.919329868	8.17E-16
TBC1D9	-2.22136786	1.23E-22
TBX21	-2.418494605	2.78E-24
TC2N	-1.21470175	4.87E-28
TCERG1	-1.72202077	8.35E-29
TCF20	-1.297318439	6.05E-25
TCF4	-1.000625965	4.10E-07
TCF7	-4.178353029	6.62E-33
TCL1A	-2.377503106	2.32E-16
TCN1	3.160276552	2.44E-17
TCP11L2	1.529769512	3.55E-12
TCTN1	-1.51943325	6.32E-46
TCTN3	-1.127215092	1.18E-30
TDP1	-1.507547508	2.26E-16
TDRD9	2.488503696	2.62E-16
TECR	-1.394275036	5.94E-15
TEP1	-1.291514088	1.02E-14
TEX10	-1.085423454	2.08E-22
TFDP1	1.597749146	3.51E-12
TFDP2	1.141335193	2.24E-14
TFF3	1.223905132	3.27E-06
TFRC	1.355924031	6.70E-09
TGFBI	-2.782282986	1.28E-19
TGFBR3	-2.331939022	1.33E-27
TGIF2	-1.252412704	6.48E-30
TGM2	1.925522717	2.96E-11
TGS1	-1.246734279	4.02E-29
TH1L	-1.563219906	3.45E-32
THADA	-1.036084104	1.58E-19
THBS1	1.564103579	1.82E-09
THEM4	-1.695765864	6.71E-37
THEMIS	-2.465766152	8.55E-26
THOC1	-1.360732433	4.63E-24
THOC2	-1.048715703	1.52E-17
THUMPD1	-1.615866979	1.14E-24
TIAM1	-2.940863032	2.65E-35
TIFA	1.128391388	1.10E-05
TIGD3	-1.85561634	1.99E-31
TIGIT	-1.717604207	5.76E-41
TIMM9	-1.031569699	1.14E-24
TIMP1	1.134466503	4.78E-11
TKTL1	-1.121800582	1.24E-11
TLR5	2.60963331	1.58E-32
TMC8	-1.602342882	3.58E-23
TMCC1	-1.108402842	9.83E-10
TMCC2	1.988712002	8.82E-12
TMCO3	1.167706834	1.10E-08
TMED10	-1.261996578	9.02E-25
TMEM109	-1.869899364	4.73E-45
TMEM110	1.167837266	2.82E-09
TMEM120A	1.29784679	6.07E-15
TMEM134	-1.204235167	4.58E-23
TMEM138	-1.244498185	2.88E-24
TMEM158	1.74381906	5.24E-08
TMEM165	1.284057002	3.66E-10
TMEM181	-1.403457707	7.95E-14
TMEM19	-1.380931185	1.86E-29
TMEM203	-1.246545195	3.27E-26
TMEM229B	-1.086910795	1.78E-18
TMEM40	1.746495449	5.78E-12
TMEM42	-1.293476741	1.44E-24
TMEM43	-1.056387255	8.36E-10
TMEM56	2.144724126	2.61E-17
TMEM86B	1.030069093	4.31E-07
TMOD1	1.267649525	7.73E-05
TMTC1	1.506413474	1.12E-07
TMX2	-1.284692287	1.72E-20
TNFAIP2	-2.344025343	4.55E-15
TNFAIP6	2.063810978	1.30E-18
TNFRSF10B	-1.555293218	9.83E-16
TNFRSF25	-3.084023145	6.59E-39
TNIK	-1.758965514	3.69E-23
TNKS	-1.154894145	4.29E-34
TNRC6A	-1.122319934	1.01E-17
TNRC6B	-1.056654883	1.08E-13
TNRC6C	-1.570415711	3.96E-24
TNS1	1.193534299	3.98E-05
TOMM20	-1.498687985	4.78E-19
TOMM70A	-1.41057231	2.38E-25
TOP2A	1.704989775	7.11E-10
TOP2B	-1.016730203	9.13E-22
TP53I3	2.215485886	2.12E-18
TPCN1	-1.260415803	3.45E-21
TPD52	-1.586769826	4.71E-15
TPM1	1.895850471	4.08E-15
TPM4	1.108745819	6.44E-11
TPR	-1.07927223	9.38E-13
TPST1	1.967677041	8.43E-15
TPST2	1.219329011	4.88E-20
TRAF3	-1.364717157	1.02E-15
TRAF3IP3	-1.216782049	2.14E-18
TRAF5	-2.930387957	2.70E-44
TRANK1	-1.596532557	5.92E-17
TRAP1	-1.19314963	2.66E-24
TRAT1	-1.996279326	2.43E-22
TRBC1	-3.712130417	3.95E-28
TRBV9	-1.895703432	9.48E-23
TRD@	-2.769790513	1.30E-35
TREML1	1.930101885	9.06E-10
TRERF1	-1.317264699	1.84E-16
TREX1	-1.123383799	3.79E-08
TRIB1	1.247774971	2.85E-11
TRIB2	-2.920765455	6.87E-32
TRIM14	-1.066737645	2.55E-11
TRIM28	-1.259321191	1.59E-22
TRIM44	-2.190856007	1.86E-32
TRIM56	-1.242133997	7.71E-13
TRIM58	1.069017084	0.00
TRIM68	-1.013879993	3.86E-30
TRIT1	-1.494426848	8.81E-36
TRPS1	1.276140924	6.52E-11
TRRAP	-1.175803256	4.97E-25
TSC1	-1.050296501	7.39E-18
TSEN15	-1.19089076	2.22E-20
TSEN54	-1.529605524	1.97E-29
TSFM	-1.177708157	3.26E-23
TSHZ1	-2.35253609	2.63E-39
TSPAN2	1.222114107	1.72E-07
TSPAN32	-1.177428414	1.34E-14
TSPO	1.488716738	8.70E-21
TSPO2	1.147576651	1.02E-08
TSPYL1	-1.032683064	4.59E-16
TSTA3	1.290843134	2.08E-06
TTC17	-1.048862239	1.73E-12
TTC19	-1.976672923	3.18E-29
TTC27	-1.363880053	5.95E-35
TTC3	-2.062197039	1.86E-32
TTC35	1.318024004	7.15E-09
TTC37	-1.121780002	2.90E-24
TTC39C	-2.714754653	9.50E-40
TTC9	-1.862230127	2.08E-29
TTF1	-1.023436531	2.58E-17
TTYH2	-1.530046067	1.94E-30
TUBB2A	1.562455052	0.00
TULP4	-1.369335716	7.55E-29
TWISTNB	-1.250114526	7.55E-17
TXK	-2.875077812	1.95E-29
TXLNG	-1.04427987	6.11E-14
TXN	1.499549295	3.03E-32
TXNDC17	1.42255542	3.56E-19
TXNDC3	1.109184731	7.38E-10
TXNDC9	1.00232424	9.04E-09
TXNIP	-1.017280809	6.35E-13
TYMS	1.134284914	0.00
U2AF2	-1.68639308	8.59E-30
UBA2	-1.518699699	1.06E-13
UBAP1	1.047598078	8.74E-28
UBAP2	-1.536111552	2.66E-24
UBASH3A	-2.180027459	5.51E-41
UBE2C	1.142305483	2.83E-11
UBE2E2	-1.044865641	1.77E-18
UBE2F	2.042689992	1.23E-32
UBE2G2	-1.491427634	9.99E-28
UBE2H	1.128673945	1.04E-12
UBE2J1	1.303902406	2.08E-16
UBE2L6	-1.557112188	2.55E-09
UBE2M	1.066833214	3.13E-17
UBE2Q2	-1.758169274	4.62E-19
UBFD1	-1.136682252	1.99E-23
UBL5	1.142575218	5.33E-20
UBP1	-1.109333724	7.60E-16
UBR4	1.024771688	4.55E-12
UFM1	-1.060095774	8.76E-14
UGCG	2.791461007	1.90E-28
UHRF2	-1.121061987	3.81E-15
UMPS	-1.279143457	8.01E-22
UNC119B	-1.461490188	2.99E-26
UPF3A	-1.000983832	4.73E-19
UPP1	2.522697278	4.50E-41
UQCR11	1.407251538	6.62E-23
USP11	-2.073204502	1.03E-33
USP19	-1.016726791	3.08E-22
USP24	-1.137437874	2.29E-18
USP32	1.436137912	3.21E-30
USP48	-1.093499256	3.03E-18
USPL1	-1.44528909	1.06E-23
UTP23	-1.027146918	9.51E-17
UTP3	-1.444529768	2.00E-23
UTP6	-1.547237281	3.30E-27
UTRN	-1.619106955	2.71E-21
UXS1	-1.118937484	2.36E-14
VEGFB	-1.320650302	2.96E-27
VMA21	-1.273743146	1.76E-17
VNN1	4.501256399	5.49E-45
VPRBP	-1.218479018	8.37E-19
VPREB3	-1.582364037	1.82E-19
VPS11	-1.031653161	8.08E-24
VPS13C	-1.44571846	9.83E-15
VPS45	-1.179525984	1.96E-16
VPS53	-1.112123015	3.54E-12
VSIG4	2.155202863	2.15E-09
VSTM1	1.285841598	2.49E-07
WARS	-1.456934429	2.31E-09
WBP11	-1.183834777	1.57E-34
WBSCR22	-1.21834447	6.96E-25
WDFY3	1.44581685	1.53E-11
WDR11	-1.396854966	5.10E-15
WDR54	-1.804662735	4.14E-29
WDR59	-1.316801512	4.37E-26
WDR73	-1.079855407	4.93E-23
WDR75	-1.243133117	2.30E-25
WDR82	-1.469279274	9.64E-41
WFDC1	1.957751084	2.73E-10
WHAMM	-1.276763353	5.13E-33
WIPI1	1.632561211	1.25E-20
WLS	-1.29429854	4.76E-06
WWP1	-1.689029126	2.73E-37
XAF1	-1.716313321	1.87E-05
XK	3.34189664	3.60E-16
XPC	-1.478548643	9.20E-19
XRCC6	-1.395288026	1.14E-26
XRRA1	-1.79054128	2.10E-17
XYLT1	-1.583348544	8.20E-24
YEATS2	-1.213731742	2.81E-19
YLPM1	-1.193107667	3.79E-21
YOD1	3.086126665	2.85E-23
YTHDC1	-1.128757807	4.67E-17
YWHAQ	-1.168017129	2.33E-14
ZADH2	-1.092219711	2.04E-13
ZAP70	-2.588463137	1.25E-38
ZBTB1	-1.320213696	8.90E-15
ZBTB16	1.487018908	4.73E-06
ZBTB2	-1.052140311	1.25E-21
ZBTB24	-1.035888249	4.81E-21
ZBTB33	-1.045193394	4.10E-11
ZBTB38	-1.519999638	3.81E-19
ZBTB4	-1.263199462	1.19E-24
ZBTB40	-1.625669139	4.76E-34
ZBTB44	-1.189878327	2.15E-09
ZBTB5	-1.020068464	5.11E-24
ZC3H14	-1.272278519	1.95E-24
ZC3H4	-1.105753391	9.38E-16
ZCCHC2	-1.599536795	4.96E-08
ZDHHC19	3.395638605	1.32E-14
ZDHHC2	2.019302491	1.18E-19
ZDHHC3	1.577589006	6.81E-21
ZER1	1.242430129	3.16E-07
ZFP36L2	-2.251938848	1.10E-20
ZFP62	-1.223887365	1.60E-23
ZFP64	-1.393263335	4.86E-32
ZHX2	-1.218597825	1.16E-16
ZMAT2	1.07988396	2.13E-14
ZMIZ1	-1.43394116	3.69E-14
ZMYND11	-2.006896735	5.00E-24
ZMYND8	-1.271540596	1.76E-10
ZNF146	-1.569268295	1.65E-24
ZNF169	-1.049232453	7.16E-12
ZNF234	-1.134992283	5.56E-21
ZNF263	-1.244068487	1.20E-24
ZNF264	-1.029370548	5.89E-20
ZNF266	-1.983521364	1.23E-26
ZNF274	-1.38694769	1.26E-15
ZNF275	-2.068766859	4.07E-29
ZNF317	-1.349305388	4.61E-32
ZNF331	-1.315470681	5.22E-21
ZNF354A	1.156380119	1.15E-05
ZNF362	-1.231105888	2.20E-21
ZNF395	-1.668400178	4.75E-27
ZNF398	-1.009272041	3.23E-08
ZNF438	1.540430394	3.99E-18
ZNF512	-1.254564538	9.84E-33
ZNF529	-1.830167365	6.44E-38
ZNF549	-1.329608532	1.95E-33
ZNF557	-1.026490902	9.75E-19
ZNF559	-1.598910982	1.19E-27
ZNF561	-1.059195766	1.95E-24
ZNF566	-1.001659474	3.28E-25
ZNF573	-2.492713769	7.68E-42
ZNF608	1.481201631	2.14E-07
ZNF609	-1.489719737	1.47E-18
ZNF652	-1.256272592	4.54E-16
ZNF664	-1.550226618	1.08E-20
ZNF671	-1.105031483	1.48E-21
ZNF689	-1.236665602	1.99E-25
ZNF766	-1.099966211	2.46E-22
ZNF773	-1.252114806	1.40E-24
ZNF789	-1.007856774	3.90E-22
ZNF805	-1.419916818	1.03E-20
ZNF827	-1.131946965	1.76E-30
ZNF83	-1.186826957	1.98E-06
ZNF91	-1.634915901	8.49E-20
ZNHIT6	-1.98798117	5.76E-41
ZSCAN18	-1.665641444	3.06E-26
ZZZ3	-1.071441282	6.32E-21
